Date,Coal_RB_4800_FOB_London_Close_USD,Coal_RB_5500_FOB_London_Close_USD,Coal_RB_5700_FOB_London_Close_USD,Coal_RB_6000_FOB_CurrentWeek_Avg_USD,Coal_India_5500_CFR_London_Close_USD,Price_WTI,Price_Brent_Oil,Price_Dubai_Brent_Oil,Price_ExxonMobil,Price_NTPC,Price_Shenhua,tempmax_RB,tempmin_RB,temp_RB,dew_RB,humidity_RB,precip_RB,preciptype_RB,windspeed_RB,tempmax_Limpopo,tempmin_Limpopo,temp_Limpopo,dew_Limpopo,humidity_Limpopo,precip_Limpopo,preciptype_Limpopo,windspeed_Limpopo
5/8/2020,,,,51.91,,24.74,30.97,28.54,46.18,87,13.5,27.1,16.5,21.3,17,78.1,0.198,rain,18.7,24,9,15.7,9.4,69.5,0,,14.8
5/11/2020,31.61,40.68,50.66,51.91,45.77,24.14,29.63,27.27,45.74,86.65,13.58,28.6,16.1,21.4,15.2,70.3,0,,17.3,25,8,15.7,4.8,54.3,0,,11.2
5/12/2020,31.61,40.68,50.66,51.91,45.77,25.78,29.98,26.81,44.12,91.65,13.4,25.6,12.6,20.3,16.6,79.8,0.198,rain,20.2,26,9,16.9,3.3,46.4,0,,11.2
5/13/2020,31.61,40.68,50.66,51.91,45.77,25.29,29.19,26.68,41.93,93.05,13.36,23.7,16.5,20.1,17.2,84.2,1.246,rain,37.8,26,9,17,2.7,43.4,0,,22.3
5/14/2020,31.61,40.68,50.66,51.91,45.77,27.56,31.13,29.2,42.3,89.35,13.16,22.6,15.1,19,15,78.3,9.159,rain,24.5,20.9,9.9,15,6.8,59,0,,22.3
5/15/2020,32.98,42.39,52.37,53.17,48.75,29.43,32.5,29.8,42,90.85,13.14,26.6,13.6,19.4,14.9,77.3,0,,20.9,22,9,15.1,7.8,65.2,0,,16.4
5/18/2020,32.98,42.39,52.37,53.17,48.75,31.82,34.81,30.55,45.34,88.9,13.48,28,12.1,19.9,15.8,78.5,0,,14.8,25,7,15.9,4.3,51.6,0,,13
5/19/2020,32.98,42.39,52.37,53.17,48.75,32.5,34.65,30.42,43.94,91.05,14,25.7,13.8,20.3,16.6,81,0.2,rain,20.9,24,7.9,15.6,5.2,52.9,0,,21.4
5/20/2020,32.98,42.39,52.37,53.17,48.75,33.49,35.75,30.57,45.37,92.9,14.04,25.6,18.3,21.4,17.5,79.6,0,,20.2,22,8,14.7,6.8,61.8,0,,19.5
5/21/2020,32.98,42.39,52.37,53.17,48.75,33.92,36.06,30.62,44.56,90.25,14.04,26.6,14.3,20.9,16.8,79.1,0.1,rain,21.2,20,8,13.1,7.3,69.4,0,,18.2
5/22/2020,33.86,42.98,52.33,54.93,50.16,33.25,35.13,30.34,44.6,90.95,13.3,27.3,17.1,21.2,17,78.7,0,,20.4,23,6.4,13.9,6,64.8,0,,13
5/25/2020,,,,,,33.92,35.53,,,,13.54,30.3,16.1,22.3,12.9,57.8,0,,22.7,22.1,7,14.4,3.8,52.9,0,,18.4
5/26/2020,33.86,42.98,52.33,54.93,50.16,34.35,36.17,30.59,45.91,93,13.64,22.3,15.5,20,12.4,63.6,2.987,rain,27.4,24.2,6.8,15.9,0.9,40.3,0,,29.5
5/27/2020,33.86,42.98,52.33,54.93,50.16,32.81,34.74,30.43,46.24,94.7,13.84,20.3,10.1,15.7,6.3,56.4,0.004,rain,24.8,18,4.1,11.1,-5.8,32.2,0,,23.2
5/28/2020,33.86,42.98,52.33,54.93,50.16,33.71,35.29,30.51,45.04,95.7,14.14,24.2,8.5,16.1,5.9,53.8,0,,18.7,19,1,10.1,-1.4,46.8,0,,14.8
5/29/2020,34.53,43.62,53.26,55.27,50.96,35.49,35.33,30.47,45.47,97.85,14.16,26.4,8.5,17.9,9.7,61.3,0,,18.7,23,5,13.9,-3.6,35.7,0,,20.5
6/1/2020,34.53,43.62,53.26,55.27,50.96,35.44,38.32,38.32,46.28,97.9,14.32,28.7,17.3,21.6,16.6,75,0,,18.4,26,7,15.5,5.2,56.3,0,,9.4
6/2/2020,34.53,43.62,53.26,55.27,50.96,36.81,39.57,39.17,47.31,96.75,14.54,27.6,16.9,21.5,16.3,74.1,0,,24.1,24,7.1,14.8,5.4,59.2,0,,14.8
6/3/2020,34.53,43.62,53.26,55.27,50.96,37.29,39.79,39.26,49.24,94.7,14.64,28.2,17.1,21.6,15.8,71.7,0,,24.1,24,6,14.1,4.3,57.3,0,,9.4
6/4/2020,34.53,43.62,53.26,55.27,50.96,37.41,39.99,39.15,49.1,95.15,13.08,28,16.1,20.8,17,79.4,0,,29.5,20,5,12.6,5.2,63,0,,20.5
6/5/2020,36.7,45.35,55.02,59.32,53.47,39.55,42.3,41.32,53.08,97.95,13.1,24.5,14.3,19.3,15.3,79.3,0.199,rain,33.5,20,6,12,5.2,66.5,0,,14.8
6/8/2020,36.7,45.35,55.02,59.32,53.47,38.19,40.8,40.69,54.74,98.55,13.14,25.9,16,20.3,15.3,75.4,0,,20.5,22,6,12.9,3.4,57.7,0,,12.1
6/9/2020,36.7,45.35,55.02,59.32,53.47,38.94,41.18,40.82,53.52,98,13.3,25.7,15.8,20.2,15.5,76,0.2,rain,23,21,6.7,13.2,4.6,59.7,0,,13.9
6/10/2020,36.7,45.35,55.02,59.32,53.47,39.6,41.73,41.52,50.65,98.15,13.08,30.8,17.3,23,11.7,52.9,0,,29.2,21,6.8,13.5,4.1,57.1,0,,14.6
6/11/2020,36.7,45.35,55.02,59.32,53.47,36.34,38.55,39.44,46.18,98.05,12.76,27.7,15.2,22.5,12.1,53.5,0,,25.2,24,7,15,3.6,50,0,,29.5
6/12/2020,34.1,42,51.58,55.34,50.81,36.26,38.73,39.5,47.17,96.9,12.5,20.1,9.1,16.3,6.9,56.2,0.002,rain,36.8,14,5,9.7,-5.6,34.7,0,,30.5
6/15/2020,34.1,42,51.58,55.34,50.81,37.12,39.72,39.85,47.14,93.2,12.34,22.9,6.6,16.3,8.8,62.2,0.052,rain,20.4,19,4,11.1,-0.6,47,0,,11.2
